Timestamp,Event
2025-07-17 16:41:36,DROWSINESS ALERT
2025-07-17 16:41:40,DROWSINESS ALERT
2025-07-17 16:41:57,DROWSINESS ALERT
2025-07-17 16:42:07,DROWSINESS ALERT
2025-07-17 16:43:53,DROWSINESS ALERT
2025-07-17 16:46:08,DROWSINESS ALERT
2025-07-17 16:46:20,DROWSINESS ALERT
2025-07-17 16:46:27,DROWSINESS ALERT
2025-07-17 16:46:52,DROWSINESS ALERT
2025-07-17 16:47:07,DROWSINESS ALERT
2025-07-17 16:47:13,DROWSINESS ALERT
2025-07-17 16:47:30,DROWSINESS ALERT
2025-07-17 16:48:31,DROWSINESS ALERT
2025-07-18 01:35:11,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:15,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:16,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:17,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:17,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:18,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:19,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:19,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:20,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:20,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:21,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:22,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:22,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:23,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:23,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:24,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:24,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:25,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:25,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:26,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:26,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:27,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:27,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:28,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:29,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:29,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:30,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:30,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:31,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:31,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:32,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:32,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:33,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:33,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:34,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:34,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:35,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:35,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:36,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:37,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:37,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:38,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:38,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:39,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:39,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:40,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:40,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:41,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:41,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:42,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:42,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:43,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:44,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:44,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:45,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:45,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:46,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:46,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:47,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:47,FATIGUE ALERT: HEAD NODDING!
2025-07-18 01:35:48,FATIGUE ALERT: HEAD NODDING!
